3-13: [2, 2, 2, 2, 2, 2, 4, 6, 2, 5, 4, 5, 3, 4, 3, 6, 5, 4, 6, 5, 4, 3, 4, 3]
3-17: [2, 2, 2, 2, 2, 2, 4, 6, 2, 5, 4, 5, 3, 4, 3, 6, 5, 4, 6, 5, 4, 3, 4, 3]
3-18: [2, 2, 2, 2, 2, 2, 4, 6, 2, 5, 4, 5, 3, 4, 3, 6, 5, 4, 6, 5, 4, 3, 4, 3]
3-19: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
3-23: [2, 2, 2, 2, 2, 2, 4, 6, 2, 5, 4, 5, 3, 4, 3, 6, 5, 4, 6, 5, 4, 3, 4, 3]
2-1: [2, 2, 2, 2, 2, 3, 3, 4, 5, 4, 6, 4, 5, 3, 5, 5, 5, 5, 5, 4, 5, 4, 3, 2]
2-2: [2, 2, 2, 2, 2, 3, 3, 4, 5, 4, 6, 4, 5, 3, 5, 5, 5, 5, 5, 4, 5, 4, 3, 2]
2-3: [2, 2, 2, 2, 2, 3, 3, 4, 5, 4, 6, 4, 5, 3, 5, 5, 5, 5, 5, 4, 5, 4, 3, 2]
2-4: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2-5: [2, 2, 2, 2, 2, 3, 3, 4, 5, 4, 6, 4, 5, 3, 5, 5, 5, 5, 5, 4, 5, 4, 3, 2]
2-6: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2-7: [2, 2, 2, 2, 2, 3, 3, 4, 5, 4, 6, 4, 5, 3, 5, 5, 5, 5, 5, 4, 5, 4, 3, 2]
2-8: [2, 2, 2, 2, 2, 3, 3, 4, 5, 4, 6, 4, 5, 3, 5, 5, 5, 5, 5, 4, 5, 4, 3, 2]
2-9: [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
2-10: [0, 0, 0, 0, 0, 1, 1, 2, 3, 2, 4, 2, 3, 1, 3, 3, 3, 3, 3, 2, 3, 2, 1, 0]
2-11: [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
2-12: [0, 0, 0, 0, 0, 1, 1, 2, 3, 2, 4, 2, 3, 1, 3, 3, 3, 3, 3, 2, 3, 2, 1, 0]
2-13: [2, 2, 2, 2, 2, 3, 3, 4, 5, 4, 6, 4, 5, 3, 5, 5, 5, 5, 5, 4, 5, 4, 3, 2]
2-14: [2, 2, 2, 2, 2, 3, 3, 4, 5, 4, 6, 4, 5, 3, 5, 5, 5, 5, 5, 4, 5, 4, 3, 2]
2-15: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2-16: [2, 2, 2, 2, 2, 3, 3, 4, 5, 4, 6, 4, 5, 3, 5, 5, 5, 5, 5, 4, 5, 4, 3, 2]
2-17: [2, 2, 2, 2, 2, 3, 3, 4, 5, 4, 6, 4, 5, 3, 5, 5, 5, 5, 5, 4, 5, 4, 3, 2]
1-1: [0, 0, 0, 0, 0, 1, 1, 2, 3, 2, 4, 2, 3, 1, 3, 3, 3, 3, 3, 2, 3, 2, 1, 0]
1-2: [0, 0, 0, 0, 0, 1, 1, 2, 3, 2, 4, 2, 3, 1, 3, 3, 3, 3, 3, 2, 3, 2, 1, 0]
1-3: [0, 0, 0, 0, 0, 1, 1, 2, 3, 2, 4, 2, 3, 1, 3, 3, 3, 3, 3, 2, 3, 2, 1, 0]
1-4: [0, 0, 0, 0, 0, 1, 1, 2, 3, 2, 4, 2, 3, 1, 3, 3, 3, 3, 3, 2, 3, 2, 1, 0]
